cluster,pickup_zone_name,count,rank,cluster_total,pct_within_cluster,pct_top_n_share
0,Upper East Side South,191376,1,3316182,5.770973969462472,14.27850911879956
0,Upper East Side North,179650,2,3316182,5.417374559056168,13.40363558226915
0,Midtown Center,147126,3,3316182,4.436608123438339,10.977029160461624
0,Midtown East,133264,4,3316182,4.018597290498531,9.942789269332124
0,Lincoln Square East,120050,5,3316182,3.620127001473381,8.956896474541672
0,Murray Hill,118043,6,3316182,3.5596055946265914,8.807154773380448
0,Penn Station/Madison Sq West,117468,7,3316182,3.5422663774183683,8.764254186351197
0,Upper West Side South,113352,8,3316182,3.418147737367853,8.45716059293834
0,Union Sq,110283,9,3316182,3.3256015502164837,8.228183372777004
0,Lenox Hill West,109696,10,3316182,3.3079004710839155,8.184387469148882
1,JFK Airport,92276,1,251582,36.67829971937579,47.407818416280065
1,LaGuardia Airport,70263,2,251582,27.928468650380395,36.09839552411337
1,Times Sq/Theatre District,6174,3,251582,2.454070640983854,3.1719609747075417
1,Midtown Center,5799,4,251582,2.3050138722166134,2.979300565650961
1,Midtown East,4650,5,251582,1.8483039327137871,2.3889890723015985
1,Murray Hill,3728,6,251582,1.4818230239047308,1.915301346567819
1,Midtown North,3230,7,251582,1.283875634981835,1.65944832334068
1,Midtown South,3096,8,251582,1.230612682942341,1.590604337171129
1,Penn Station/Madison Sq West,2785,9,251582,1.106994936044709,1.4308246379268712
1,Clinton East,2642,10,251582,1.0501546215548012,1.3573568019399618
2,Upper East Side South,23228,1,465789,4.986807331216495,13.299818493091859
2,Upper East Side North,22833,2,465789,4.902004985089816,13.073650579161633
2,Midtown Center,19538,3,465789,4.194603135754601,11.187009373085445
2,Midtown East,17152,4,465789,3.682354027252683,9.820840657547423
2,Lincoln Square East,16059,5,465789,3.4476984213882256,9.195013999507584
2,Upper West Side South,15557,6,465789,3.339924300487989,8.907580346867144
2,Union Sq,15483,7,465789,3.324037278681978,8.865209649067559
2,Murray Hill,15475,8,465789,3.322319762811058,8.860629033089225
2,Penn Station/Madison Sq West,15234,9,465789,3.2705795971995903,8.722637976741922
2,Clinton East,14090,10,465789,3.024974827658017,8.067609891840204
3,Penn Station/Madison Sq West,40589,1,966447,4.199816441046431,13.125319329198494
3,Upper East Side North,34786,2,966447,3.599369649861813,11.248795441757588
3,Midtown Center,34376,3,966447,3.55694621639883,11.116213192257195
3,Midtown East,30555,4,966447,3.1615805108816106,9.880611301181599
3,Upper East Side South,29885,5,966447,3.0922544122957594,9.663952503217544
3,East Village,29067,6,966447,3.007614488947661,9.399434746897253
3,Union Sq,28609,7,966447,2.9602244096158405,9.251330673065107
3,Lenox Hill East,27887,8,966447,2.8855177780054158,9.017856565408321
3,Murray Hill,26878,9,966447,2.7811147429709027,8.69157488310126
3,Clinton East,26610,10,966447,2.753384303536562,8.604911363915638
