cluster,dropoff_zone_name,count,rank,cluster_total,pct_within_cluster,pct_top_n_share
0,Upper East Side North,17904,1,385852,4.640121082694919,13.85597647331966
0,Upper East Side South,15859,2,385852,4.110125125695863,12.27334287814882
0,Midtown Center,14444,3,385852,3.743404206794315,11.178268776844794
0,Times Sq/Theatre District,13106,4,385852,3.3966391258824626,10.142785280346708
0,Upper West Side South,12038,5,385852,3.1198490612981145,9.316255852648686
0,Murray Hill,11812,6,385852,3.0612773809647225,9.141353558023448
0,Lenox Hill West,11299,7,385852,2.928324849942465,8.744340827303333
0,Lincoln Square East,11209,8,385852,2.904999844499964,8.674689471036643
0,Clinton East,10985,9,385852,2.8469464976208494,8.501334984328444
0,East Chelsea,10559,10,385852,2.7365414718596766,8.171651897999459
1,Upper East Side North,204666,1,4057815,5.043748914132359,14.60505217517271
1,Upper East Side South,191407,2,4057815,4.716996708819894,13.658884336886846
1,Midtown Center,157570,3,4057815,3.883124292260736,11.244261730047803
1,Murray Hill,133452,4,4057815,3.2887650126977204,9.523191066816903
1,Upper West Side South,129099,5,4057815,3.181490531234174,9.212559148869973
1,Lenox Hill West,126744,6,4057815,3.1234543713796707,9.044505354529282
1,Lincoln Square East,126439,7,4057815,3.115938010973886,9.022740425750552
1,Midtown East,117391,8,4057815,2.892960866870471,8.377071325455617
1,Upper West Side North,107306,9,4057815,2.644428097387387,7.657401467313002
1,Union Sq,107263,10,4057815,2.643368413789194,7.654332969157313
2,LaGuardia Airport,48107,1,349177,13.77725337006733,27.930213655364604
2,JFK Airport,37881,2,349177,10.848652689037365,21.99314909428704
2,Times Sq/Theatre District,19225,3,349177,5.505803646861048,11.161751045053414
2,Clinton East,11226,4,349177,3.2149883869785243,6.517649790989317
2,Midtown Center,10739,5,349177,3.0755175741815752,6.234904784022294
2,Midtown South,10631,6,349177,3.044587701939131,6.172201579191825
2,Murray Hill,9969,7,349177,2.854999040601185,5.787854156990246
2,Midtown East,9175,8,349177,2.6276072020780292,5.326869484440316
2,East Chelsea,7860,9,349177,2.251007368755674,4.563399907106363
2,Midtown North,7427,10,349177,2.127001492079948,4.312006502554575
3,JFK Airport,12807,1,207156,6.182297399061577,22.430643127364437
3,LaGuardia Airport,12310,2,207156,5.942381586823457,21.560179347064594
3,Park Slope,6033,3,207156,2.9122979783351677,10.566414459857084
3,Williamsburg (North Side),4362,4,207156,2.1056595029832588,7.639764606977721
3,TriBeCa/Civic Center,4216,5,207156,2.0351812160883584,7.384054925038532
3,Crown Heights North,4189,6,207156,2.0221475602927264,7.3367661482415585
3,Lower East Side,3374,7,207156,1.6287242464616036,5.909345663444024
3,Washington Heights North,3325,8,207156,1.6050705748324936,5.823525290738406
3,Boerum Hill,3256,9,207156,1.5717623433547663,5.702676194479473
3,Brooklyn Heights,3224,10,207156,1.55631504759698,5.646630236794172
