k,inertia,silhouette,calinski_harabasz,min_cluster_pct,max_cluster_pct,cluster_algo_used,fit_seconds,inertia_drop,inertia_drop_pct
2,21282576.044942606,0.653300047079669,173986.5524121147,10.13632,89.86368,minibatch,56.45953140000347,,
3,17988113.999612615,0.275697266345463,121566.79006144076,9.84536,54.535140000000006,minibatch,49.66014319995884,3294462.0453299917,0.15479620692406063
4,14910934.994859446,0.2816481075162342,111455.65117581976,7.50916,46.2514,minibatch,44.96883839997463,3077179.0047531687,0.17106735063050177
5,13302244.842563558,0.2938449846782353,99720.37062987372,3.3166800000000003,50.882459999999995,minibatch,44.587254800018854,1608690.1522958875,0.10788660488765354
6,12360369.360803146,0.2896205837493986,88723.99134563301,5.01514,48.41978,minibatch,44.21060440002475,941875.4817604125,0.07080575443527153
7,11199797.348802313,0.25698536119726834,85251.89735593126,3.1502799999999995,44.120219999999996,minibatch,43.52253719989676,1160572.0120008327,0.09389460606907152
8,10126055.897933338,0.23759426084794547,83651.71057245666,3.09996,36.260940000000005,minibatch,42.956467199954204,1073741.4508689754,0.0958715070843491
9,9490192.147973808,0.25814977662357985,79921.47945498914,3.0836200000000002,35.83158,minibatch,42.159507200005464,635863.7499595303,0.06279480938766159
10,8888698.359116616,0.2664471316517463,77541.62044766193,2.97946,33.11914,minibatch,42.96260189998429,601493.7888571918,0.06338057011686671
