feature,log_odds_coef,odds_ratio
borough_Manhattan,0.860369094649018,2.3640330846601243
borough_Unknown,0.7872834556722308,2.1974189249419784
is_airport_trip,0.6250294097047504,1.8683009028021913
hour_Evening Commute,0.5182507741053914,1.679087975205524
hour_Nightlife,0.4548835677544448,1.5759898763108773
hour_Daytime,0.44835152658788746,1.5657289942964743
rate_code,0.43772832598862543,1.5491839772187515
borough_Brooklyn,0.4003204681171146,1.4923028565064318
borough_Queens,0.277992050007157,1.320475699395007
month_February,0.078753953310388,1.0819380820344684
