feature,log_odds_coef,odds_ratio,abs_log_odds_coef
borough_Unknown,3.2087086104317235,24.747107424114727,3.2087086104317235
is_airport_trip,2.63234397460633,13.906327809021375,2.63234397460633
borough_Manhattan,2.3101486629859838,10.075922460396221,2.3101486629859838
month_July,-1.9951604549576059,0.13599183185253208,1.9951604549576059
month_March,-1.9317757287883714,0.14489068335517627,1.9317757287883714
month_August,-1.9153029480433343,0.1472972024269297,1.9153029480433343
month_June,-1.8986248644908719,0.14977443782377925,1.8986248644908719
month_May,-1.8740711006644017,0.15349748435370336,1.8740711006644017
month_April,-1.829509655458205,0.16049224498045384,1.829509655458205
month_September,-1.8170404318690911,0.1625059874785834,1.8170404318690911
month_December,-1.8002715536603615,0.16525400679756957,1.8002715536603615
month_October,-1.7592188232089636,0.17217931378544402,1.7592188232089636
month_February,-1.7265209987597618,0.1779022567737634,1.7265209987597618
borough_Queens,1.7154960691607994,5.55943269153891,1.7154960691607994
borough_Brooklyn,1.7111484741880278,5.535314994894596,1.7111484741880278
month_November,-1.6426808618964106,0.19346070503362292,1.6426808618964106
congestion_surcharge,0.9031866143867971,2.4674534191259285,0.9031866143867971
hour_Airport Rush,-0.5739537374188777,0.5632939139496155,0.5739537374188777
hour_Nightlife,0.42195421745630424,1.5249387075120777,0.42195421745630424
hour_Evening Commute,0.28362859697723464,1.3279396383575859,0.28362859697723464
rate_code,0.19553709015967172,1.2159638933807535,0.19553709015967172
hour_Daytime,0.18404847172137623,1.202074088284464,0.18404847172137623
weekend,-0.12152828767810823,0.8855660023885331,0.12152828767810823
tolls_amount,-0.09600780176538846,0.9084569284732369,0.09600780176538846
fare_amount,-0.04044837859864404,0.9603587382957431,0.04044837859864404
extra,-0.039454756308034473,0.9613134463761629,0.039454756308034473
passenger_count,0.022440920045666925,1.0226946116286315,0.022440920045666925
speed_mph,0.008776329866212594,1.008814954761425,0.008776329866212594
